stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782853541.767242,trajectory,0.001704,1.000000,0.000000,1,-0.009778976,-0.009778976,0.000000001,0.023498535,0.000000949,-0.023497586,35.000000,5.000000,0.000028737,0.201557159,-0.117487913,-0.117459175,q_final,,,1.000000
1782853541.767242,trajectory,0.001704,1.000000,0.000000,2,0.027036667,0.027036667,-0.000000000,-0.072938919,-0.000000131,0.072938788,55.000000,4.800000,-0.283177022,-0.249942780,0.350106179,0.066929157,q_final,,,1.000000
1782853541.767242,trajectory,0.001704,1.000000,0.000000,3,0.002109528,0.002109527,-0.000000000,-0.039611816,-0.000000588,0.039611228,40.000000,4.830000,-0.156451874,-0.064592361,0.191322219,0.034870344,q_final,,,1.000000
1782853541.767242,trajectory,0.001704,1.000000,0.000000,4,0.001341820,0.001341820,-0.000000000,0.157775879,-0.000000389,-0.157776268,30.000000,2.500000,0.022763221,-0.084306717,-0.394440677,-0.371677456,q_final,,,1.000000
1782853541.767242,trajectory,0.001704,1.000000,0.000000,5,-0.061168671,-0.061168671,-0.000000000,-0.013595581,-0.000000826,0.013594755,15.000000,1.500000,0.022085107,-0.124116898,0.020392125,0.042477233,q_final,,,1.000000
1782853541.767242,trajectory,0.001704,1.000000,0.000000,6,-0.018982887,-0.018982887,-0.000000000,-0.023666382,-0.000000382,0.023666000,12.000000,1.000000,0.000085739,-0.026275635,0.023665997,0.023751736,q_final,,,1.000000
1782853541.781288,trajectory,0.013943,1.000000,0.000000,1,-0.009778976,-0.009778682,0.000000294,0.023498535,0.000063245,-0.023435290,35.000000,5.000000,0.000178575,0.201557159,-0.117166150,-0.116987575,q_final,,,1.000000
1782853541.781288,trajectory,0.013943,1.000000,0.000000,2,0.027036667,0.027036626,-0.000000041,-0.072938919,-0.000008729,0.072930190,55.000000,4.800000,-0.284094864,-0.249942780,0.350062680,0.065967816,q_final,,,1.000000
1782853541.781288,trajectory,0.013943,1.000000,0.000000,3,0.002109528,0.002109345,-0.000000182,-0.039611816,-0.000039210,0.039572607,40.000000,4.830000,-0.156313084,-0.064592361,0.191128391,0.034815307,q_final,,,1.000000
1782853541.781288,trajectory,0.013943,1.000000,0.000000,4,0.001341820,0.001341699,-0.000000121,0.157775879,-0.000025956,-0.157801835,30.000000,2.500000,0.023116344,-0.084306717,-0.394508211,-0.371391867,q_final,,,1.000000
1782853541.781288,trajectory,0.013943,1.000000,0.000000,5,-0.061552048,-0.061168927,0.000383121,-0.022659302,-0.000055066,0.022604236,15.000000,1.500000,0.012509800,-0.098909378,0.039653166,0.052162966,q_final,,,1.000000
1782853541.781288,trajectory,0.013943,1.000000,0.000000,6,-0.018982887,-0.018983006,-0.000000118,-0.023666382,-0.000025458,0.023640923,12.000000,1.000000,0.000080858,-0.026275635,0.023639502,0.023720359,q_final,,,1.000000
1782853541.792237,trajectory,0.002055,1.000000,0.000000,1,-0.009778976,-0.009778975,0.000000001,0.023498535,0.000001380,-0.023497155,35.000000,5.000000,0.000033055,0.201557159,-0.117485742,-0.117452687,q_final,,,1.000000
1782853541.792237,trajectory,0.002055,1.000000,0.000000,2,0.027036667,0.027036667,-0.000000000,-0.072938919,-0.000000190,0.072938729,55.000000,4.800000,-0.283552284,-0.249942780,0.350105890,0.066553606,q_final,,,1.000000
1782853541.792237,trajectory,0.002055,1.000000,0.000000,3,0.002109528,0.002109527,-0.000000001,0.067810059,-0.000000856,-0.067810914,40.000000,4.830000,-0.156099123,0.009078979,-0.327526739,-0.483625862,q_final,,,1.000000
1782853541.792237,trajectory,0.002055,1.000000,0.000000,4,0.001341820,0.001341819,-0.000000000,-0.034240723,-0.000000566,0.034240156,30.000000,2.500000,0.023122171,-0.033464432,0.085600379,0.108722550,q_final,,,1.000000
1782853541.792237,trajectory,0.002055,1.000000,0.000000,5,-0.061552048,-0.061552049,-0.000000001,-0.022659302,-0.000001201,0.022658100,15.000000,1.500000,0.022082920,-0.098909378,0.033987138,0.056070058,q_final,,,1.000000
1782853541.792237,trajectory,0.002055,1.000000,0.000000,6,-0.018982887,-0.018982888,-0.000000000,-0.000503540,-0.000000556,0.000502985,12.000000,1.000000,0.000085597,-0.060456276,0.000502980,0.000588577,q_final,,,1.000000
1782853541.806040,trajectory,0.005898,1.000000,0.000000,1,-0.009778976,-0.009778954,0.000000022,0.023498535,0.000011348,-0.023487187,35.000000,5.000000,0.000080279,0.201557159,-0.117435153,-0.117354874,q_final,,,1.000000
1782853541.806040,trajectory,0.005898,1.000000,0.000000,2,0.027036667,0.027036664,-0.000000003,-0.072938919,-0.000001566,0.072937353,55.000000,4.800000,-0.283728433,-0.249942780,0.350099124,0.066370691,q_final,,,1.000000
1782853541.806040,trajectory,0.005898,1.000000,0.000000,3,0.002109528,0.002109514,-0.000000014,0.067810059,-0.000007036,-0.067817094,40.000000,4.830000,-0.156168612,0.009078979,-0.327557118,-0.483725731,q_final,,,1.000000
1782853541.806040,trajectory,0.005898,1.000000,0.000000,4,0.001341820,0.001341811,-0.000000009,-0.034240723,-0.000004657,0.034236065,30.000000,2.500000,0.023120272,-0.033464432,0.085589888,0.108710160,q_final,,,1.000000
1782853541.806040,trajectory,0.005898,1.000000,0.000000,5,-0.061552048,-0.061552067,-0.000000019,-0.022659302,-0.000009878,0.022649424,15.000000,1.500000,0.022064675,-0.098909378,0.033973844,0.056038519,q_final,,,1.000000
1782853541.806040,trajectory,0.005898,1.000000,0.000000,6,-0.018982887,-0.018982896,-0.000000009,-0.000503540,-0.000004568,0.000498972,12.000000,1.000000,0.000084058,-0.060456276,0.000498864,0.000582922,q_final,,,1.000000
1782853541.818091,trajectory,0.017926,1.000000,0.000000,1,-0.009778976,-0.009778352,0.000000625,0.023498535,0.000104377,-0.023394158,35.000000,5.000000,0.000226804,0.201557159,-0.116948928,-0.116722124,q_final,,,1.000000
1782853541.818091,trajectory,0.017926,1.000000,0.000000,2,0.027036667,0.027036581,-0.000000086,-0.072938919,-0.000014405,0.072924514,55.000000,4.800000,-0.283915114,-0.249942780,0.350032924,0.066117811,q_final,,,1.000000
1782853541.818091,trajectory,0.017926,1.000000,0.000000,3,0.002109528,0.002109140,-0.000000387,0.062438965,-0.000064710,-0.062503675,40.000000,4.830000,-0.169455873,-0.116991043,-0.301908242,-0.471364115,q_final,,,1.000000
1782853541.818091,trajectory,0.017926,1.000000,0.000000,4,0.001341820,0.001341563,-0.000000256,-0.015441895,-0.000042837,0.015399058,30.000000,2.500000,0.045783065,-0.048509598,0.038489953,0.084273017,q_final,,,1.000000
1782853541.818091,trajectory,0.017926,1.000000,0.000000,5,-0.061168671,-0.061552592,-0.000383921,-0.001510620,-0.000090855,0.001419765,15.000000,1.500000,0.044214700,-0.015167236,-0.003629165,0.040585535,q_final,,,1.000000
1782853541.818091,trajectory,0.017926,1.000000,0.000000,6,-0.018599510,-0.018983139,-0.000383629,0.032730103,-0.000042015,-0.032772118,12.000000,1.000000,0.023342080,0.005767822,-0.037375660,-0.014033580,q_final,,,1.000000
1782853541.831480,trajectory,0.031323,1.000000,0.000000,1,-0.009778976,-0.009775656,0.000003321,0.023498535,0.000317129,-0.023181407,35.000000,5.000000,0.000387701,0.201557159,-0.115790805,-0.115403104,q_final,,,1.000000
1782853541.831480,trajectory,0.031323,1.000000,0.000000,2,0.027036667,0.027036209,-0.000000458,-0.072938919,-0.000043768,0.072895151,55.000000,4.800000,-0.280570846,-0.249942780,0.349871520,0.069300673,q_final,,,1.000000
1782853541.831480,trajectory,0.031323,1.000000,0.000000,3,0.001726151,0.002107469,0.000381318,0.071838379,-0.000196609,-0.072034988,40.000000,4.830000,-0.108445689,-0.083269119,-0.332676262,-0.441121951,q_final,,,1.000000
1782853541.831480,trajectory,0.031323,1.000000,0.000000,4,0.000958443,0.001340457,0.000382014,-0.105411530,-0.000130151,0.105281378,30.000000,2.500000,-0.194686652,-0.017898560,0.274663871,0.079977219,q_final,,,1.000000
1782853541.831480,trajectory,0.031323,1.000000,0.000000,5,-0.061168671,-0.061554938,-0.000386268,-0.001510620,-0.000276046,0.001234574,15.000000,1.500000,0.030281374,-0.015167236,-0.003942154,0.026339220,q_final,,,1.000000
1782853541.831480,trajectory,0.031323,1.000000,0.000000,6,-0.018599510,-0.018984224,-0.000384714,0.032730103,-0.000127656,-0.032857758,12.000000,1.000000,0.008054192,0.005767822,-0.037474324,-0.029420132,q_final,,,1.000000
1782853541.845577,trajectory,0.045351,1.000000,0.000000,1,-0.009778976,-0.009768937,0.000010039,0.023498535,0.000661315,-0.022837220,35.000000,5.000000,0.000553560,0.201557159,-0.113834725,-0.113281165,q_final,,,1.000000
1782853541.845577,trajectory,0.045351,1.000000,0.000000,2,0.027036667,0.027035281,-0.000001386,-0.072938919,-0.000091270,0.072847649,55.000000,4.800000,-0.281958954,-0.249942780,0.349592512,0.067633558,q_final,,,1.000000
1782853541.845577,trajectory,0.045351,1.000000,0.000000,3,0.001726151,0.002103304,0.000377153,-0.016784668,-0.000409994,0.016374674,40.000000,4.830000,-0.357591536,-0.180805206,0.094175798,-0.263415738,q_final,,,1.000000
1782853541.845577,trajectory,0.045351,1.000000,0.000000,4,0.001726151,0.001337700,-0.000388451,0.152404785,-0.000271407,-0.152676193,30.000000,2.500000,0.213468282,0.074449539,-0.393344010,-0.179875728,q_final,,,1.000000
1782853541.845577,trajectory,0.045351,1.000000,0.000000,5,-0.060784340,-0.061560786,-0.000776447,-0.007553101,-0.000575644,0.006977456,15.000000,1.500000,0.021385634,-0.017303467,-0.001180514,0.020205120,q_final,,,1.000000
1782853541.845577,trajectory,0.045351,1.000000,0.000000,6,-0.018982887,-0.018986928,-0.000004041,-0.017623901,-0.000266203,0.017357698,12.000000,1.000000,-0.014465852,-0.006195068,0.017309204,0.002843352,q_final,,,1.000000
1782853541.857042,trajectory,0.056790,1.000000,0.000000,1,-0.010930061,-0.009759326,0.001170736,-0.097354889,0.001032602,0.098387491,35.000000,5.000000,-0.312326988,0.173021317,0.532913207,0.220586219,q_final,,,1.000000
1782853541.857042,trajectory,0.056790,1.000000,0.000000,2,0.027036667,0.027033955,-0.000002712,0.018005371,-0.000142512,-0.018147883,55.000000,4.800000,-0.132725514,-0.352485657,-0.087259002,-0.219984516,q_final,,,1.000000
1782853541.857042,trajectory,0.056790,1.000000,0.000000,3,0.001726151,0.002097345,0.000371194,-0.016784668,-0.000640179,0.016144489,40.000000,4.830000,-0.228232848,-0.180805206,0.092825645,-0.135407202,q_final,,,1.000000
1782853541.857042,trajectory,0.056790,1.000000,0.000000,4,0.001726151,0.001333755,-0.000392396,0.152404785,-0.000423786,-0.152828571,30.000000,2.500000,0.087920208,0.074449539,-0.393843295,-0.305923087,q_final,,,1.000000
1782853541.857042,trajectory,0.056790,1.000000,0.000000,5,-0.060784340,-0.061569153,-0.000784813,-0.007553101,-0.000898832,0.006654268,15.000000,1.500000,0.021660223,-0.017303467,-0.001790793,0.019869429,q_final,,,1.000000
1782853541.857042,trajectory,0.056790,1.000000,0.000000,6,-0.018982887,-0.018990797,-0.000007910,-0.017623901,-0.000415660,0.017208242,12.000000,1.000000,-0.004921036,-0.006195068,0.017113319,0.012192283,q_final,,,1.000000
1782853541.869352,trajectory,0.069110,1.000000,0.000000,1,-0.010930061,-0.009743683,0.001186378,-0.097354889,0.001522183,0.098877072,35.000000,5.000000,-0.106535316,0.173021317,0.535908587,0.429373271,q_final,,,1.000000
1782853541.869352,trajectory,0.069110,1.000000,0.000000,2,0.027036667,0.027031796,-0.000004871,0.018005371,-0.000210080,-0.018215451,55.000000,4.800000,-0.231626768,-0.352485657,-0.087702064,-0.319328832,q_final,,,1.000000
1782853541.869352,trajectory,0.069110,1.000000,0.000000,3,0.001726151,0.002087647,0.000361497,-0.016784668,-0.000943704,0.015840964,40.000000,4.830000,-0.184003916,-0.180805206,0.090971719,-0.093032198,q_final,,,1.000000
1782853541.869352,trajectory,0.069110,1.000000,0.000000,4,0.001726151,0.001327335,-0.000398815,-0.067810059,-0.000624713,0.067185346,30.000000,2.500000,-0.305274813,0.106615067,0.155998908,-0.149275905,q_final,,,1.000000
1782853541.869352,trajectory,0.069110,1.000000,0.000000,5,-0.060784340,-0.061582769,-0.000798429,0.018630981,-0.001324991,-0.019955972,15.000000,1.500000,0.031762991,0.016021729,-0.041910389,-0.010147398,q_final,,,1.000000
1782853541.869352,trajectory,0.069110,1.000000,0.000000,6,-0.018982887,-0.018997094,-0.000014207,0.041793823,-0.000612734,-0.042406557,12.000000,1.000000,0.018729992,-0.001922607,-0.042577038,-0.023847046,q_final,,,1.000000
