stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782853658.388995,trajectory,0.001430,1.000000,0.000000,1,-0.009012222,-0.009012223,-0.000000000,-0.014099121,-0.000000817,0.014098304,35.000000,5.000000,0.000176808,0.274707794,0.070491506,0.070668314,q_final,,,1.000000
1782853658.388995,trajectory,0.001430,1.000000,0.000000,2,-0.005560875,-0.005560875,0.000000000,-0.067445755,0.000000306,0.067446061,55.000000,4.800000,0.109161447,0.455024719,0.323741099,0.432902545,q_final,,,1.000000
1782853658.388995,trajectory,0.001430,1.000000,0.000000,3,-0.008628845,-0.008628845,0.000000001,-0.128238678,0.000001432,0.128240110,40.000000,4.830000,-0.018186467,0.144487381,0.619399760,0.601213293,q_final,,,1.000000
1782853658.388995,trajectory,0.001430,1.000000,0.000000,4,0.020517349,0.020517350,0.000000000,-0.067810059,0.000000885,0.067810944,30.000000,2.500000,0.000058912,0.013229370,0.169527372,0.169586284,q_final,,,1.000000
1782853658.388995,trajectory,0.001430,1.000000,0.000000,5,0.027420044,0.027420045,0.000000001,-0.002517700,0.000001999,0.002519699,15.000000,1.500000,-0.016398913,0.024566650,0.003779563,-0.012619350,q_final,,,1.000000
1782853658.388995,trajectory,0.001430,1.000000,0.000000,6,-0.048896790,-0.048896789,0.000000000,-0.045822144,0.000000867,0.045823011,12.000000,1.000000,0.000066465,0.016876221,0.045823016,0.045889481,q_final,,,1.000000
1782853658.400217,trajectory,0.011109,1.000000,0.000000,1,-0.009012222,-0.009012404,-0.000000182,-0.014099121,-0.000049053,0.014050068,35.000000,5.000000,0.001310844,0.274707794,0.070243974,0.071554819,q_final,,,1.000000
1782853658.400217,trajectory,0.011109,1.000000,0.000000,2,-0.005560875,-0.005560807,0.000000068,-0.067445755,0.000018340,0.067464095,55.000000,4.800000,0.110245121,0.455024719,0.323831395,0.434076516,q_final,,,1.000000
1782853658.400217,trajectory,0.011109,1.000000,0.000000,3,-0.008628845,-0.008628526,0.000000319,-0.128238678,0.000085977,0.128324655,40.000000,4.830000,-0.015920799,0.144487381,0.619820837,0.603900038,q_final,,,1.000000
1782853658.400217,trajectory,0.011109,1.000000,0.000000,4,0.020517349,0.020517546,0.000000197,-0.067810059,0.000053133,0.067863191,30.000000,2.500000,0.000436625,0.013229370,0.169663890,0.170100516,q_final,,,1.000000
1782853658.400217,trajectory,0.011109,1.000000,0.000000,5,0.027420044,0.027420489,0.000000445,-0.002517700,0.000119992,0.002637693,15.000000,1.500000,-0.016530789,0.024566650,0.003963214,-0.012567574,q_final,,,1.000000
1782853658.400217,trajectory,0.011109,1.000000,0.000000,6,-0.048896790,-0.048896596,0.000000193,-0.045822144,0.000052059,0.045874202,12.000000,1.000000,0.000078792,0.016876221,0.045876519,0.045955311,q_final,,,1.000000
1782853658.413048,trajectory,0.023919,1.000000,0.000000,1,-0.009012222,-0.009014028,-0.000001806,-0.202091217,-0.000225784,0.201865433,35.000000,5.000000,-0.655188758,0.124773026,1.009263948,0.354075190,q_final,,,1.000000
1782853658.413048,trajectory,0.023919,1.000000,0.000000,2,-0.005560875,-0.005560200,0.000000675,0.000915527,0.000084415,-0.000831112,55.000000,4.800000,0.269056818,0.537422180,-0.003952199,0.265104619,q_final,,,1.000000
1782853658.413048,trajectory,0.023919,1.000000,0.000000,3,-0.008245468,-0.008625679,-0.000380211,0.144348145,0.000395741,-0.143952403,40.000000,4.830000,0.533519500,0.282489777,-0.710498560,-0.176979060,q_final,,,1.000000
1782853658.413048,trajectory,0.023919,1.000000,0.000000,4,0.020517349,0.020519306,0.000001956,0.171203613,0.000244564,-0.170959049,30.000000,2.500000,0.206444733,0.056808472,-0.427338930,-0.220894196,q_final,,,1.000000
1782853658.413048,trajectory,0.023919,1.000000,0.000000,5,0.027420044,0.027424462,0.000004418,-0.002517700,0.000552311,0.003070011,15.000000,1.500000,-0.017061765,0.024566650,0.004671292,-0.012390473,q_final,,,1.000000
1782853658.413048,trajectory,0.023919,1.000000,0.000000,6,-0.048896790,-0.048894873,0.000001917,-0.045822144,0.000239620,0.046061763,12.000000,1.000000,0.000094045,0.016876221,0.046084766,0.046178811,q_final,,,1.000000
1782853658.426540,trajectory,0.037399,1.000000,0.000000,1,-0.009395599,-0.009019087,0.000376512,-0.059753418,-0.000547823,0.059205595,35.000000,5.000000,0.030619254,0.061996460,0.309205895,0.339825149,q_final,,,1.000000
1782853658.426540,trajectory,0.037399,1.000000,0.000000,2,-0.005560875,-0.005558308,0.000002567,0.000915527,0.000204817,-0.000710710,55.000000,4.800000,0.164868638,0.537422180,-0.003270243,0.161598395,q_final,,,1.000000
