stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,j_eff,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782895527.709507,trajectory,0.001332,1.000000,0.000000,1,0.063469887,0.063469887,0.000000000,-0.191349030,0.000001022,0.191350052,35.000000,5.000000,,-0.000055887,-0.120103836,0.956750275,0.956694388,q_final,,,1.000000
1782895527.709507,trajectory,0.001332,1.000000,0.000000,2,-0.018982887,-0.018982887,-0.000000000,-0.023498535,-0.000000198,0.023498337,25.000000,5.800000,,0.336419294,-0.237125397,0.136290353,0.472709646,q_final,,,1.000000
1782895527.709507,trajectory,0.001332,1.000000,0.000000,3,-0.022050858,-0.022050858,-0.000000000,0.129577637,-0.000001084,-0.129578721,40.000000,4.830000,,-0.078146551,0.058883667,-0.625865241,-0.704011792,q_final,,,1.000000
1782895527.709507,trajectory,0.001332,1.000000,0.000000,4,-0.036624908,-0.036624909,-0.000000000,0.043640137,-0.000000313,-0.043640450,24.000000,2.250000,,-0.059564235,0.030868530,-0.098191015,-0.157755250,q_final,,,1.000000
1782895527.709507,trajectory,0.001332,1.000000,0.000000,5,0.001341820,0.001341819,-0.000000001,-0.036758423,-0.000001231,0.036757192,15.000000,1.500000,,0.037250796,-0.009613037,0.055135779,0.092386576,q_final,,,1.000000
1782895527.709507,trajectory,0.001332,1.000000,0.000000,6,-0.009778976,-0.009778976,0.000000000,0.031723022,0.000000295,-0.031722727,12.000000,1.000000,,0.000099486,0.031402588,-0.031722726,-0.031623240,q_final,,,1.000000
1782895527.724288,trajectory,0.004587,1.000000,0.000000,1,0.063469887,0.063469905,0.000000019,-0.191349030,0.000012110,0.191361139,35.000000,5.000000,,-0.000210190,-0.120103836,0.956806346,0.956596156,q_final,,,1.000000
1782895527.724288,trajectory,0.004587,1.000000,0.000000,2,-0.018982887,-0.018982891,-0.000000004,-0.023498535,-0.000002347,0.023496188,25.000000,5.800000,,0.336195304,-0.237125397,0.136277803,0.472473108,q_final,,,1.000000
1782895527.724288,trajectory,0.004587,1.000000,0.000000,3,-0.022050858,-0.022050877,-0.000000020,0.129577637,-0.000012842,-0.129590478,40.000000,4.830000,,-0.078602703,0.058883667,-0.625922797,-0.704525500,q_final,,,1.000000
1782895527.724288,trajectory,0.004587,1.000000,0.000000,4,-0.036624908,-0.036624914,-0.000000006,0.043640137,-0.000003707,-0.043643844,24.000000,2.250000,,-0.059627401,0.030868530,-0.098198785,-0.157826185,q_final,,,1.000000
