stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,j_eff,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782898564.507240,trajectory,0.031603,1.000000,0.000000,5,0.002109528,0.002099745,-0.000009782,0.044815063,-0.000924623,-0.045739686,15.000000,1.500000,,0.014558807,-0.003631592,-0.068756267,-0.054197460,q_final,,,1.000000
1782898564.507240,trajectory,0.031603,1.000000,0.000000,6,-0.009395599,-0.009391074,0.000004525,-0.016616821,0.000427696,0.017044517,12.000000,1.000000,,-0.015679957,0.018585205,0.017098817,0.001418860,q_final,,,1.000000
1782898564.519260,trajectory,0.043610,1.000000,0.000000,1,0.007862091,0.008257573,0.000395481,-0.091983795,0.000827712,0.092811507,35.000000,5.000000,,-0.515270275,0.000778198,0.477899385,-0.037370890,q_final,,,1.000000
1782898564.519260,trajectory,0.043610,1.000000,0.000000,2,-0.011313438,-0.010930954,0.000382484,-0.003967285,-0.000061051,0.003906234,25.000000,5.800000,,-0.051408318,0.088806152,0.032218265,-0.019190053,q_final,,,1.000000
1782898564.519260,trajectory,0.043610,1.000000,0.000000,3,0.010545731,0.009760058,-0.000785673,0.047668457,-0.001293689,-0.048962146,40.000000,4.830000,,0.273299230,-0.257587433,-0.267914082,0.005385148,q_final,,,1.000000
1782898564.519260,trajectory,0.043610,1.000000,0.000000,4,-0.002492905,-0.002500720,-0.000007816,0.008728027,-0.000534439,-0.009262466,24.000000,2.250000,,0.049476624,0.032943726,-0.021028122,0.028448501,q_final,,,1.000000
1782898564.519260,trajectory,0.043610,1.000000,0.000000,5,0.001726151,0.002083949,0.000357798,-0.082080841,-0.001749126,0.080331715,15.000000,1.500000,,-0.121262623,0.004058838,0.125864542,0.004601919,q_final,,,1.000000
1782898564.519260,trajectory,0.043610,1.000000,0.000000,6,-0.009395599,-0.009383767,0.000011832,0.004531860,0.000809080,-0.003722781,12.000000,1.000000,,0.007497029,0.001495361,-0.003580797,0.003916231,q_final,,,1.000000
1782898564.531241,trajectory,0.055582,1.000000,0.000000,1,0.008245468,0.008270405,0.000024937,0.101379395,0.001335695,-0.100043699,35.000000,5.000000,,0.352016694,0.014785767,-0.499345712,-0.147329018,q_final,,,1.000000
1782898564.531241,trajectory,0.055582,1.000000,0.000000,2,-0.011313438,-0.010931901,0.000381538,0.083314896,-0.000098519,-0.083413415,25.000000,5.800000,,0.449220352,-0.066833496,-0.474259362,-0.025039010,q_final,,,1.000000
1782898564.531241,trajectory,0.055582,1.000000,0.000000,3,0.011313438,0.009740001,-0.001573437,-0.014099121,-0.002087653,0.012011468,40.000000,4.830000,,-0.114336446,-0.137742996,-0.004922098,-0.119258544,q_final,,,1.000000
1782898564.531241,trajectory,0.055582,1.000000,0.000000,4,-0.002492905,-0.002509006,-0.000016101,0.087951660,-0.000862435,-0.088814095,24.000000,2.250000,,0.093434352,0.028793335,-0.200218141,-0.106783789,q_final,,,1.000000
1782898564.531241,trajectory,0.055582,1.000000,0.000000,5,0.002109528,0.002056831,-0.000052696,0.021652222,-0.002822602,-0.024474823,15.000000,1.500000,,0.018939541,-0.049775124,-0.037502680,-0.018563139,q_final,,,1.000000
1782898564.531241,trajectory,0.055582,1.000000,0.000000,6,-0.009778976,-0.009371224,0.000407752,-0.022659302,0.001305629,0.023964931,12.000000,1.000000,,-0.009300903,0.018157959,0.028857960,0.019557057,q_final,,,1.000000
1782898564.543247,trajectory,0.067578,1.000000,0.000000,1,0.007862091,0.008290066,0.000427974,-0.102725983,0.001961448,0.104687431,35.000000,5.000000,,-0.535119243,0.038650513,0.538416262,0.003297018,q_final,,,1.000000
1782898564.543247,trajectory,0.067578,1.000000,0.000000,2,-0.011696815,-0.010933351,0.000763465,-0.012512207,-0.000144674,0.012367533,25.000000,5.800000,,-0.088849845,-0.112609863,0.090818309,0.001968463,q_final,,,1.000000
1782898564.543247,trajectory,0.067578,1.000000,0.000000,3,0.012080193,0.009709272,-0.002370921,0.028869629,-0.003065686,-0.031935315,40.000000,4.830000,,0.068582331,-0.264850616,-0.249084394,-0.180502063,q_final,,,1.000000
1782898564.543247,trajectory,0.067578,1.000000,0.000000,4,-0.002492905,-0.002521700,-0.000028796,-0.003356934,-0.001266472,0.002090462,24.000000,2.250000,,-0.120187310,0.066667557,0.004012441,-0.116174869,q_final,,,1.000000
1782898564.543247,trajectory,0.067578,1.000000,0.000000,5,0.002109528,0.002015284,-0.000094244,-0.004531860,-0.004144948,0.000386913,15.000000,1.500000,,-0.010245800,-0.007476807,-0.000833284,-0.011079084,q_final,,,1.000000
1782898564.543247,trajectory,0.067578,1.000000,0.000000,6,-0.009778976,-0.009352006,0.000426971,0.034744263,0.001917296,-0.032826966,12.000000,1.000000,,0.044085132,-0.019866943,-0.027703319,0.016381813,q_final,,,1.000000
