stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782847645.036543,trajectory,0.001309,1.000000,0.000000,1,-0.009012222,-0.009012222,0.000000000,0.055725098,0.000000993,-0.055724105,35.000000,5.000000,-0.000162947,0.215564728,-0.278620509,-0.278783456,q_final,,,1.000000
1782847645.036543,trajectory,0.001309,1.000000,0.000000,2,-0.004026413,-0.004026413,-0.000000000,0.026550293,-0.000000524,-0.026550817,55.000000,4.800000,-0.013455037,0.357978821,-0.127443932,-0.140898969,q_final,,,1.000000
1782847645.036543,trajectory,0.001309,1.000000,0.000000,3,0.005177498,0.005177497,-0.000000001,-0.039611816,-0.000001527,0.039610289,40.000000,4.830000,0.078332429,-0.262256622,0.191317670,0.269650099,q_final,,,1.000000
1782847645.036543,trajectory,0.001309,1.000000,0.000000,4,0.009395599,0.009395599,-0.000000000,-0.096012115,-0.000000499,0.096011617,30.000000,2.500000,0.006966267,-0.191181183,0.240029035,0.246995302,q_final,,,1.000000
1782847645.036543,trajectory,0.001309,1.000000,0.000000,5,0.021667480,0.021667480,-0.000000001,0.004531860,-0.000001505,-0.004533366,15.000000,1.500000,-0.017439567,-0.107027054,-0.006800058,-0.024239625,q_final,,,1.000000
1782847645.036543,trajectory,0.001309,1.000000,0.000000,6,-0.015148163,-0.015148163,-0.000000000,0.005538940,-0.000000420,-0.005539360,12.000000,1.000000,-0.000005447,0.059602737,-0.005539362,-0.005544809,q_final,,,1.000000
1782847645.056460,trajectory,0.005084,1.000000,0.000000,1,-0.009012222,-0.009012197,0.000000025,0.055725098,0.000014948,-0.055710150,35.000000,5.000000,-0.000653171,0.215564728,-0.278549864,-0.279203034,q_final,,,1.000000
1782847645.056460,trajectory,0.005084,1.000000,0.000000,2,-0.004409790,-0.004026426,0.000383364,-0.001525879,-0.000007883,0.001517996,55.000000,4.800000,-0.109122337,0.356147766,0.028371383,-0.080750953,q_final,,,1.000000
1782847645.056460,trajectory,0.005084,1.000000,0.000000,3,0.005560875,0.005177459,-0.000383416,0.055725098,-0.000022994,-0.055748091,40.000000,4.830000,0.406371804,-0.116472244,-0.284599923,0.121771881,q_final,,,1.000000
1782847645.056460,trajectory,0.005084,1.000000,0.000000,4,0.009395599,0.009395587,-0.000000013,-0.096012115,-0.000007509,0.096004606,30.000000,2.500000,0.007927054,-0.191181183,0.240011134,0.247938188,q_final,,,1.000000
1782847645.056460,trajectory,0.005084,1.000000,0.000000,5,0.021667480,0.021667442,-0.000000038,0.004531860,-0.000022663,-0.004554523,15.000000,1.500000,-0.018098164,-0.107027054,-0.006832361,-0.024930526,q_final,,,1.000000
1782847645.056460,trajectory,0.005084,1.000000,0.000000,6,-0.015148163,-0.015148174,-0.000000011,0.005538940,-0.000006318,-0.005545258,12.000000,1.000000,-0.000010745,0.059602737,-0.005545387,-0.005556132,q_final,,,1.000000
1782847645.073179,trajectory,0.007000,1.000000,0.000000,1,-0.009012222,-0.009012156,0.000000066,0.042297363,0.000028306,-0.042269058,35.000000,5.000000,-0.000901391,0.220233917,-0.211342974,-0.212244365,q_final,,,1.000000
1782847645.073179,trajectory,0.007000,1.000000,0.000000,2,-0.004409790,-0.004409825,-0.000000035,-0.001525879,-0.000014918,0.001510961,55.000000,4.800000,-0.015191108,0.356147766,0.007250697,-0.007940411,q_final,,,1.000000
1782847645.073179,trajectory,0.007000,1.000000,0.000000,3,0.005560875,0.005560773,-0.000000102,0.055725098,-0.000043553,-0.055768650,40.000000,4.830000,0.083502951,-0.116472244,-0.269366650,-0.185863698,q_final,,,1.000000
1782847645.073179,trajectory,0.007000,1.000000,0.000000,4,0.009395599,0.009395566,-0.000000033,-0.096012115,-0.000014220,0.095997896,30.000000,2.500000,0.007843111,-0.191181183,0.239993743,0.247836854,q_final,,,1.000000
1782847645.073179,trajectory,0.007000,1.000000,0.000000,5,0.021667480,0.021667380,-0.000000100,0.004531860,-0.000042916,-0.004574776,15.000000,1.500000,-0.018067287,-0.107027054,-0.006863668,-0.024930954,q_final,,,1.000000
1782847645.073179,trajectory,0.007000,1.000000,0.000000,6,-0.015148163,-0.015148191,-0.000000028,0.014602661,-0.000011963,-0.014614624,12.000000,1.000000,0.006331943,0.081392288,-0.014614960,-0.008283017,q_final,,,1.000000
1782847645.084430,trajectory,0.018218,1.000000,0.000000,1,-0.009395599,-0.009011062,0.000384537,-0.132266998,0.000190605,0.132457603,35.000000,5.000000,-0.613312607,0.077562332,0.675746822,0.062434214,q_final,,,1.000000
1782847645.084430,trajectory,0.018218,1.000000,0.000000,2,-0.004409790,-0.004410402,-0.000000611,0.054626465,-0.000100453,-0.054726918,55.000000,4.800000,0.114530492,0.259101868,-0.262722839,-0.148192347,q_final,,,1.000000
1782847645.084430,trajectory,0.018218,1.000000,0.000000,3,0.005560875,0.005559090,-0.000001785,0.015441895,-0.000293274,-0.015735169,40.000000,4.830000,-0.014930958,0.005966187,-0.076072277,-0.091003235,q_final,,,1.000000
1782847645.084430,trajectory,0.018218,1.000000,0.000000,4,0.009395599,0.009395016,-0.000000583,-0.096012115,-0.000095754,0.095916362,30.000000,2.500000,0.007357353,-0.191181183,0.239773418,0.247130771,q_final,,,1.000000
1782847645.084430,trajectory,0.018218,1.000000,0.000000,5,0.021667480,0.021665721,-0.000001759,0.004531860,-0.000288986,-0.004820846,15.000000,1.500000,-0.017888805,-0.107027054,-0.007257657,-0.025146462,q_final,,,1.000000
1782847645.084430,trajectory,0.018218,1.000000,0.000000,6,-0.015148163,-0.015148653,-0.000000490,-0.081073761,-0.000080559,0.080993202,12.000000,1.000000,-0.030664569,0.055757523,0.080987318,0.050322749,q_final,,,1.000000
1782847645.096074,trajectory,0.029830,1.000000,0.000000,1,-0.009395599,-0.009007153,0.000388447,0.152404785,0.000507858,-0.151896927,35.000000,5.000000,0.782990265,0.138780594,-0.745888996,0.037101269,q_final,,,1.000000
1782847645.096074,trajectory,0.029830,1.000000,0.000000,2,-0.004794121,-0.004412462,0.000381659,-0.090639114,-0.000267653,0.090371461,55.000000,4.800000,-0.235230964,0.130920410,0.454774249,0.219543285,q_final,,,1.000000
1782847645.096074,trajectory,0.029830,1.000000,0.000000,3,0.005944252,0.005553074,-0.000391178,0.039611816,-0.000781417,-0.040393234,40.000000,4.830000,0.392376559,0.005966187,-0.210746428,0.181630131,q_final,,,1.000000
1782847645.096074,trajectory,0.029830,1.000000,0.000000,4,0.009395599,0.009393052,-0.000002547,-0.096012115,-0.000255132,0.095756984,30.000000,2.500000,0.007991796,-0.191181183,0.239316052,0.247307848,q_final,,,1.000000
1782847645.096074,trajectory,0.029830,1.000000,0.000000,5,0.021667480,0.021659794,-0.000007687,0.004531860,-0.000769992,-0.005301852,15.000000,1.500000,-0.018427839,-0.107027054,-0.008068077,-0.026495916,q_final,,,1.000000
