stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,j_eff,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782893570.972575,trajectory,0.001561,1.000000,0.000000,1,0.065387726,0.065387727,0.000000001,0.040954590,0.000001476,-0.040953114,35.000000,5.000000,,-0.000070032,0.072893143,-0.204765542,-0.204835574,q_final,,,1.000000
1782893570.972575,trajectory,0.001561,1.000000,0.000000,2,0.027036667,0.027036667,-0.000000000,-0.058900833,-0.000000310,0.058900523,55.000000,4.800000,,-0.005507156,0.383613586,0.282722504,0.277215347,q_final,,,1.000000
1782893570.972575,trajectory,0.001561,1.000000,0.000000,3,-0.019749641,-0.019749642,-0.000000001,0.019470215,-0.000001558,-0.019471773,40.000000,4.830000,,-0.404666479,-0.036058426,-0.094048695,-0.498715174,q_final,,,1.000000
1782893570.972575,trajectory,0.001561,1.000000,0.000000,4,-0.019749641,-0.019749642,-0.000000000,-0.087955475,-0.000000495,0.087954980,30.000000,2.500000,,-0.066322442,0.018936157,0.219887441,0.153564999,q_final,,,1.000000
1782893570.972575,trajectory,0.001561,1.000000,0.000000,5,-0.033556938,-0.033556939,-0.000000001,0.024673462,-0.000001782,-0.024675244,15.000000,1.500000,,0.062380133,0.160432816,-0.037012879,0.025367254,q_final,,,1.000000
1782893570.972575,trajectory,0.001561,1.000000,0.000000,6,0.018216133,0.018216133,0.000000000,-0.006546021,0.000000020,0.006546041,12.000000,1.000000,,0.000096749,-0.132234573,0.006546041,0.006642789,q_final,,,1.000000
1782893570.988169,trajectory,0.005265,1.000000,0.000000,1,0.065387726,0.065387755,0.000000029,0.040954590,0.000016759,-0.040937831,35.000000,5.000000,,-0.000252984,0.072893143,-0.204688124,-0.204941108,q_final,,,1.000000
1782893570.988169,trajectory,0.005265,1.000000,0.000000,2,0.027036667,0.027036661,-0.000000006,-0.058900833,-0.000003516,0.058897317,55.000000,4.800000,,-0.005904015,0.383613586,0.282706781,0.276802767,q_final,,,1.000000
1782893570.988169,trajectory,0.005265,1.000000,0.000000,3,-0.019749641,-0.019749672,-0.000000031,0.019470215,-0.000017689,-0.019487903,40.000000,4.830000,,-0.405213347,-0.036058426,-0.094127816,-0.499341164,q_final,,,1.000000
1782893570.988169,trajectory,0.005265,1.000000,0.000000,4,-0.019749641,-0.019749651,-0.000000010,-0.087955475,-0.000005623,0.087949851,30.000000,2.500000,,-0.066398874,0.018936157,0.219874332,0.153475459,q_final,,,1.000000
