stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782847494.867058,trajectory,0.001592,1.000000,0.000000,1,-0.007094383,-0.007094384,-0.000000001,0.104064941,-0.000001023,-0.104065965,35.000000,5.000000,0.000157566,0.174058914,-0.520329842,-0.520172276,q_final,,,1.000000
1782847494.867058,trajectory,0.001592,1.000000,0.000000,2,-0.007094383,-0.007094383,0.000000000,-0.030822754,0.000000293,0.030823046,55.000000,4.800000,0.080259877,0.530097961,0.147950632,0.228210508,q_final,,,1.000000
1782847494.867058,trajectory,0.001592,1.000000,0.000000,3,-0.002876282,-0.002876281,0.000000001,-0.059753418,0.000001573,0.059754991,40.000000,4.830000,0.035614439,-0.014266968,0.288616639,0.324231078,q_final,,,1.000000
1782847494.867058,trajectory,0.001592,1.000000,0.000000,4,-0.007094383,-0.007094383,0.000000001,-0.090641022,0.000001094,0.090642115,30.000000,2.500000,0.000322550,0.180803299,0.226605305,0.226927855,q_final,,,1.000000
1782847494.867058,trajectory,0.001592,1.000000,0.000000,5,-0.004794121,-0.004794120,0.000000001,0.043807983,0.000002377,-0.043805607,15.000000,1.500000,0.002679722,0.022003174,-0.065708391,-0.063028669,q_final,,,1.000000
1782847494.867058,trajectory,0.001592,1.000000,0.000000,6,0.003643036,0.003643036,-0.000000000,-0.028701782,-0.000000685,0.028701097,12.000000,1.000000,0.000002094,-0.047211647,0.028701093,0.028703187,q_final,,,1.000000
1782847494.887613,trajectory,0.005534,1.000000,0.000000,1,-0.007094383,-0.007094406,-0.000000023,0.104064941,-0.000012337,-0.104077279,35.000000,5.000000,0.000526957,0.174058914,-0.520387190,-0.519860232,q_final,,,1.000000
1782847494.887613,trajectory,0.005534,1.000000,0.000000,2,-0.007094383,-0.007094377,0.000000007,-0.030822754,0.000003528,0.030826282,55.000000,4.800000,0.080630444,0.530097961,0.147966511,0.228596955,q_final,,,1.000000
1782847494.887613,trajectory,0.005534,1.000000,0.000000,3,-0.002876282,-0.002876247,0.000000035,-0.059753418,0.000018965,0.059772383,40.000000,4.830000,0.036387148,-0.014266968,0.288702011,0.325089159,q_final,,,1.000000
1782847494.887613,trajectory,0.005534,1.000000,0.000000,4,-0.007094383,-0.007094359,0.000000024,-0.090641022,0.000013185,0.090654207,30.000000,2.500000,0.000447816,0.180803299,0.226636247,0.227084063,q_final,,,1.000000
1782847494.887613,trajectory,0.005534,1.000000,0.000000,5,-0.004794121,-0.004794068,0.000000053,0.043807983,0.000028658,-0.043779326,15.000000,1.500000,0.002641582,0.022003174,-0.065668195,-0.063026613,q_final,,,1.000000
1782847494.887613,trajectory,0.005534,1.000000,0.000000,6,0.003643036,0.003643021,-0.000000015,-0.028701782,-0.000008256,0.028693526,12.000000,1.000000,0.000004412,-0.047211647,0.028693343,0.028697755,q_final,,,1.000000
1782847494.901175,trajectory,0.008827,1.000000,0.000000,1,-0.007477760,-0.007477853,-0.000000092,0.091979980,-0.000031316,-0.092011296,35.000000,5.000000,0.359421826,0.100389481,-0.460059709,-0.100637883,q_final,,,1.000000
1782847494.901175,trajectory,0.008827,1.000000,0.000000,2,-0.007094383,-0.007094357,0.000000026,-0.062562943,0.000008960,0.062571903,55.000000,4.800000,0.006284402,0.586860657,0.300346585,0.306630987,q_final,,,1.000000
1782847494.901175,trajectory,0.008827,1.000000,0.000000,3,-0.002876282,-0.002876140,0.000000142,-0.059753418,0.000048167,0.059801585,40.000000,4.830000,0.037030118,-0.014266968,0.288847332,0.325877450,q_final,,,1.000000
1782847494.901175,trajectory,0.008827,1.000000,0.000000,4,-0.007094383,-0.007094285,0.000000099,-0.090641022,0.000033487,0.090674509,30.000000,2.500000,0.000552709,0.180803299,0.226689231,0.227241939,q_final,,,1.000000
1782847494.901175,trajectory,0.008827,1.000000,0.000000,5,-0.004794121,-0.004793906,0.000000214,0.043807983,0.000072784,-0.043735200,15.000000,1.500000,0.002609823,0.022003174,-0.065599584,-0.062989761,q_final,,,1.000000
1782847494.901175,trajectory,0.008827,1.000000,0.000000,6,0.003259659,0.003642974,0.000383315,0.035751343,-0.000020969,-0.035772312,12.000000,1.000000,0.045124280,0.015594482,-0.031172528,0.013951752,q_final,,,1.000000
1782847494.917639,trajectory,0.005724,1.000000,0.000000,1,-0.007477760,-0.007477786,-0.000000025,0.091979980,-0.000013191,-0.091993172,35.000000,5.000000,0.000545016,0.100389481,-0.459966740,-0.459421725,q_final,,,1.000000
1782847494.917639,trajectory,0.005724,1.000000,0.000000,2,-0.007094383,-0.007094376,0.000000007,-0.062562943,0.000003774,0.062566717,55.000000,4.800000,0.080647437,0.586860657,0.300320637,0.380968074,q_final,,,1.000000
1782847494.917639,trajectory,0.005724,1.000000,0.000000,3,-0.002876282,-0.002876243,0.000000039,0.058410645,0.000020290,-0.058390355,40.000000,4.830000,0.435938085,-0.054735184,-0.282023864,0.153914221,q_final,,,1.000000
1782847494.917639,trajectory,0.005724,1.000000,0.000000,4,-0.007094383,-0.007094356,0.000000027,-0.090641022,0.000014106,0.090655128,30.000000,2.500000,0.000454666,0.180803299,0.226638627,0.227093293,q_final,,,1.000000
