stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782854051.487629,trajectory,0.001718,1.000000,0.000000,1,-0.016298294,-0.016298295,-0.000000001,-0.050354004,-0.000001268,0.050352736,35.000000,5.000000,0.000184800,0.097795486,0.251763654,0.251948454,q_final,,,1.000000
1782854051.487629,trajectory,0.001718,1.000000,0.000000,2,-0.006327629,-0.006327629,0.000000000,-0.042421341,0.000000150,0.042421491,55.000000,4.800000,0.057025107,-0.022888184,0.203623163,0.260648270,q_final,,,1.000000
1782854051.487629,trajectory,0.001718,1.000000,0.000000,3,-0.007094383,-0.007094382,0.000000001,-0.055725098,0.000002025,0.055727122,40.000000,4.830000,0.046382930,-0.229053497,0.269162047,0.315544976,q_final,,,1.000000
1782854051.487629,trajectory,0.001718,1.000000,0.000000,4,0.022817612,0.022817612,0.000000000,0.018127441,0.000000788,-0.018126654,30.000000,2.500000,0.047694596,0.121660233,-0.045316621,0.002377975,q_final,,,1.000000
1782854051.487629,trajectory,0.001718,1.000000,0.000000,5,-0.016298294,-0.016298293,0.000000002,-0.034744263,0.000002728,0.034746991,15.000000,1.500000,-0.020719370,0.016021729,0.052120509,0.031401140,q_final,,,1.000000
1782854051.487629,trajectory,0.001718,1.000000,0.000000,6,0.030104637,0.030104637,0.000000000,-0.038772583,0.000000490,0.038773073,12.000000,1.000000,-0.000098384,0.016021729,0.038773076,0.038674692,q_final,,,1.000000
1782854051.504992,trajectory,0.005717,1.000000,0.000000,1,-0.016298294,-0.016298321,-0.000000027,-0.050354004,-0.000014012,0.050339992,35.000000,5.000000,0.000595107,0.097795486,0.251699026,0.252294133,q_final,,,1.000000
1782854051.504992,trajectory,0.005717,1.000000,0.000000,2,-0.006327629,-0.006327626,0.000000003,-0.042421341,0.000001661,0.042423002,55.000000,4.800000,0.057272359,-0.022888184,0.203630585,0.260902943,q_final,,,1.000000
1782854051.504992,trajectory,0.005717,1.000000,0.000000,3,-0.007094383,-0.007094341,0.000000043,-0.055725098,0.000022370,0.055747468,40.000000,4.830000,0.047213002,-0.229053497,0.269261975,0.316474977,q_final,,,1.000000
1782854051.504992,trajectory,0.005717,1.000000,0.000000,4,0.022817612,0.022817628,0.000000017,0.018127441,0.000008703,-0.018118738,30.000000,2.500000,0.047829221,0.121660233,-0.045296347,0.002532875,q_final,,,1.000000
